ts_unix,gpu_util_percent,gpu_mem_mb
1767358802.9857442,0.0,5036
1767358803.491973,44.0,5058
1767358803.9934452,41.0,5038
1767358804.4947796,39.0,5058
1767358804.9961762,39.0,5038
1767358805.4974787,39.0,5058
1767358805.999147,39.0,5038
1767358806.500459,39.0,5058
1767358807.001788,39.0,5038
1767358807.5031013,38.0,5058
1767358808.0046961,39.0,5038
1767358808.5062313,42.0,5058
1767358809.0076506,38.0,5038
1767358809.5088377,38.0,5058
1767358810.010348,38.0,5038
1767358810.5116715,39.0,5058
1767358811.0131435,38.0,5038
1767358811.514442,38.0,5058
1767358812.015894,39.0,5038
1767358812.5172055,38.0,5058
1767358813.019182,39.0,5038
1767358813.5205996,39.0,5058
1767358814.0220249,38.0,5038
1767358814.5234678,38.0,5058
1767358815.0249853,38.0,5038
1767358815.5262983,38.0,5058
1767358816.027697,39.0,5058
1767358816.5290208,35.0,5058
1767358817.0307987,37.0,5058
1767358817.5320947,37.0,5058
1767358818.0334918,38.0,5058
1767358818.534789,38.0,5058
1767358819.036337,40.0,5058
1767358819.5376396,38.0,5058
1767358820.0390723,38.0,5058
1767358820.5404613,38.0,5058
1767358821.0418298,39.0,5058
1767358821.5433655,38.0,5060
1767358822.0447972,38.0,5058
1767358822.5462987,38.0,5058
1767358823.047616,42.0,5058
1767358823.548806,37.0,5060
1767358824.050288,39.0,5058
1767358824.551497,38.0,5060
1767358825.0529244,40.0,5058
1767358825.554191,39.0,5060
1767358826.055631,39.0,5058
1767358826.5569837,39.0,5060
1767358827.058437,38.0,5058
1767358827.559699,38.0,5060
1767358828.061773,37.0,5058
1767358828.5631297,38.0,5060
1767358829.0647562,38.0,5058
1767358829.5660741,38.0,5036
1767358830.0673492,38.0,5058
1767358830.5686893,39.0,5036
1767358831.0700817,37.0,5058
1767358831.571477,37.0,5060
1767358832.0729852,40.0,5058
1767358832.5744157,38.0,5036
1767358832.983158,36.0,5036
