ts_unix,cpu_percent,mem_used_mb,mem_total_mb
1767358802.9689126,0.0,6699,31722
1767358803.4695795,14.5,6717,31722
1767358803.9699044,13.3,6721,31722
1767358804.4707737,15.0,6723,31722
1767358804.9710915,13.5,6722,31722
1767358805.4714656,13.1,6724,31722
1767358805.9717753,13.3,6723,31722
1767358806.4720788,15.5,6717,31722
1767358806.9723914,13.0,6717,31722
1767358807.4727302,13.0,6717,31722
1767358807.9731088,13.3,6710,31722
1767358808.4734185,15.0,6711,31722
1767358808.9737096,13.5,6711,31722
1767358809.4739969,13.3,6715,31722
1767358809.9743521,12.8,6717,31722
1767358810.4746706,14.3,6714,31722
1767358810.9749615,13.0,6714,31722
1767358811.475263,13.5,6714,31722
1767358811.9756944,13.3,6714,31722
1767358812.4759872,15.0,6714,31722
1767358812.9762876,13.3,6714,31722
1767358813.4767225,13.0,6714,31722
1767358813.9771054,13.0,6714,31722
1767358814.4774091,14.8,6715,31722
1767358814.9778256,13.5,6708,31722
1767358815.478123,13.5,6709,31722
1767358815.9784517,13.0,6709,31722
1767358816.4788404,15.0,6711,31722
1767358816.9791212,13.3,6711,31722
1767358817.4794056,13.2,6712,31722
1767358817.9796789,13.3,6711,31722
1767358818.4799669,14.0,6705,31722
1767358818.9802861,14.8,6705,31722
1767358819.4806213,13.3,6708,31722
1767358819.981036,13.2,6712,31722
1767358820.4813342,13.1,6713,31722
1767358820.9816382,15.3,6714,31722
1767358821.4820242,13.3,6713,31722
1767358821.9824517,13.5,6713,31722
1767358822.4827847,13.3,6713,31722
1767358822.983242,15.1,6712,31722
1767358823.4836535,12.8,6709,31722
1767358823.983999,13.0,6709,31722
1767358824.4844174,13.3,6713,31722
1767358824.9847224,14.1,6714,31722
1767358825.485013,14.0,6714,31722
1767358825.9853392,13.5,6714,31722
1767358826.485659,13.5,6714,31722
1767358826.9860606,14.5,6714,31722
1767358827.4863362,13.0,6714,31722
1767358827.986647,12.8,6714,31722
1767358828.4869418,13.0,6715,31722
1767358828.987255,14.5,6716,31722
1767358829.4875603,12.8,6716,31722
1767358829.9878607,13.0,6716,31722
1767358830.4881566,12.8,6716,31722
1767358830.9885042,14.8,6716,31722
1767358831.488797,14.1,6716,31722
1767358831.989106,13.5,6716,31722
1767358832.489408,13.1,6719,31722
1767358832.9831915,14.8,6719,31722
