ts_unix,gpu_util_percent,gpu_mem_mb
1767591772.5540316,0.0,2742
1767591773.0557792,45.0,2744
1767591773.5574985,41.0,2742
1767591774.0589278,40.0,2744
1767591774.560398,40.0,2742
1767591775.061874,40.0,2744
1767591775.564018,40.0,2742
1767591776.065676,40.0,2744
1767591776.5674622,40.0,2742
1767591777.0691183,39.0,2744
1767591777.570727,39.0,2742
1767591778.0722537,39.0,2744
1767591778.5736933,39.0,2742
1767591779.0750053,39.0,2744
1767591779.5765426,40.0,2744
1767591780.077887,39.0,2744
1767591780.579449,39.0,2744
1767591781.0809455,39.0,2744
1767591781.5824962,40.0,2744
1767591782.0839343,39.0,2744
1767591782.585387,38.0,2744
1767591783.0867395,39.0,2744
1767591783.5881183,39.0,2744
1767591784.089495,39.0,2744
1767591784.5907662,38.0,2744
1767591785.092204,39.0,2744
1767591785.593623,39.0,2744
1767591786.0953526,39.0,2744
1767591786.5967007,39.0,2744
1767591787.0980778,39.0,2744
1767591787.5994465,38.0,2744
1767591788.1008286,39.0,2744
1767591788.602179,39.0,2744
1767591789.1035497,39.0,2744
1767591789.6048415,39.0,2744
1767591790.1061878,39.0,2744
1767591790.6075294,39.0,2744
1767591791.1089528,39.0,2744
1767591791.6103764,41.0,2744
1767591792.111782,39.0,2744
1767591792.61324,38.0,2744
1767591793.1146326,39.0,2744
1767591793.6159325,37.0,2744
1767591794.1173427,38.0,2744
1767591794.6185749,38.0,2744
1767591795.1198568,38.0,2744
1767591795.6212783,38.0,2744
1767591796.1227076,39.0,2744
1767591796.624212,39.0,2744
1767591797.1255176,39.0,2744
1767591797.6268811,39.0,2744
1767591798.1282847,39.0,2744
1767591798.629741,38.0,2744
1767591799.1311827,39.0,2744
1767591799.6325386,38.0,2744
1767591800.133958,39.0,2744
1767591800.63542,39.0,2744
1767591801.1368265,39.0,2764
1767591801.6384175,39.0,2744
1767591802.1398075,39.0,2764
1767591802.5432765,39.0,2742
