ts_unix,cpu_percent,mem_used_mb,mem_total_mb
1767591772.5371075,0.0,3952,31722
1767591773.0376155,15.1,3967,31722
1767591773.537917,13.0,3971,31722
1767591774.0381913,13.5,3971,31722
1767591774.5385087,13.0,3971,31722
1767591775.0387762,14.3,3971,31722
1767591775.5390744,13.0,3971,31722
1767591776.0393522,13.2,3971,31722
1767591776.5396588,12.8,3971,31722
1767591777.0399532,14.5,3971,31722
1767591777.5403538,13.2,3969,31722
1767591778.0407376,12.8,3971,31722
1767591778.5410454,12.8,3971,31722
1767591779.0413425,14.7,3971,31722
1767591779.541726,13.0,3964,31722
1767591780.042081,13.2,3964,31722
1767591780.5423765,13.0,3964,31722
1767591781.0426524,14.5,3964,31722
1767591781.542964,13.2,3963,31722
1767591782.0432608,13.2,3964,31722
1767591782.5435982,13.5,3964,31722
1767591783.043901,15.5,3962,31722
1767591783.5443063,13.8,3963,31722
1767591784.0447793,13.5,3960,31722
1767591784.545084,13.3,3961,31722
1767591785.0454304,14.5,3960,31722
1767591785.5458632,13.1,3958,31722
1767591786.0461535,13.5,3951,31722
1767591786.5464818,13.8,3953,31722
1767591787.046771,14.2,3960,31722
1767591787.5471706,15.0,3962,31722
1767591788.0478375,13.2,3962,31722
1767591788.5482607,13.3,3962,31722
1767591789.0486188,13.2,3957,31722
1767591789.5489333,15.3,3958,31722
1767591790.0492408,12.8,3958,31722
1767591790.549576,14.0,3958,31722
1767591791.0498676,13.5,3947,31722
1767591791.550196,15.3,3953,31722
1767591792.0506003,13.5,3953,31722
1767591792.5508978,13.8,3955,31722
1767591793.0512,13.7,3955,31722
1767591793.5515275,18.0,3971,31722
1767591794.0519304,13.5,3974,31722
1767591794.5523543,14.0,3973,31722
1767591795.052673,13.5,3973,31722
1767591795.553004,14.4,3974,31722
1767591796.0533001,13.5,3974,31722
1767591796.553632,13.3,3974,31722
1767591797.0539644,13.5,3974,31722
1767591797.5544667,15.5,3976,31722
1767591798.0549154,13.0,3976,31722
1767591798.5552473,13.8,3978,31722
1767591799.0555568,13.5,3972,31722
1767591799.5558681,15.3,3967,31722
1767591800.056167,13.5,3967,31722
1767591800.5565112,14.0,3971,31722
1767591801.0568118,13.5,3972,31722
1767591801.557135,15.8,3972,31722
1767591802.0574775,13.5,3972,31722
1767591802.5432348,14.2,3977,31722
