ts_unix,cpu_percent,mem_used_mb,mem_total_mb
1767362235.4565399,0.0,6055,31722
1767362235.9578035,14.8,6075,31722
1767362236.45809,13.3,6075,31722
1767362236.958385,13.3,6075,31722
1767362237.4586673,14.6,6076,31722
1767362237.9589512,12.8,6076,31722
1767362238.459243,13.3,6076,31722
1767362238.959546,13.1,6076,31722
1767362239.4598317,13.2,6076,31722
1767362239.9601269,14.8,6078,31722
1767362240.4604826,13.3,6078,31722
1767362240.9607975,13.6,6078,31722
1767362241.46115,13.3,6078,31722
1767362241.961465,15.0,6077,31722
1767362242.4617908,13.3,6077,31722
1767362242.9621668,13.8,6069,31722
1767362243.462505,14.0,6070,31722
1767362243.962809,15.5,6070,31722
1767362244.463118,13.8,6070,31722
1767362244.9634204,14.0,6069,31722
1767362245.4637742,13.5,6069,31722
1767362245.9641645,15.3,6070,31722
1767362246.4645197,13.5,6070,31722
1767362246.964876,13.5,6070,31722
1767362247.4651973,13.3,6070,31722
1767362247.9655035,14.3,6070,31722
1767362248.4658234,13.3,6070,31722
1767362248.9662585,13.7,6070,31722
1767362249.4665837,12.8,6070,31722
1767362249.9669137,16.0,6066,31722
1767362250.4672327,13.5,6067,31722
1767362250.9675453,13.3,6071,31722
1767362251.4678416,13.2,6071,31722
1767362251.9681623,14.5,6072,31722
1767362252.4684927,13.3,6065,31722
1767362252.9687793,13.7,6065,31722
1767362253.46912,13.5,6065,31722
1767362253.9695277,14.8,6064,31722
1767362254.469835,13.5,6067,31722
1767362254.9701273,13.5,6067,31722
1767362255.470452,12.8,6067,31722
1767362255.970835,14.8,6067,31722
1767362256.47113,13.3,6067,31722
1767362256.9714363,13.3,6067,31722
1767362257.471765,13.0,6067,31722
1767362257.9720604,14.3,6067,31722
1767362258.472354,13.6,6067,31722
1767362258.972674,13.3,6068,31722
1767362259.473071,13.0,6068,31722
1767362259.9733634,13.8,6068,31722
1767362260.473716,15.0,6068,31722
1767362260.974007,13.5,6068,31722
1767362261.47431,13.3,6069,31722
1767362261.97463,13.8,6069,31722
1767362262.4749463,15.5,6069,31722
1767362262.9752395,13.3,6067,31722
1767362263.4755554,13.3,6069,31722
1767362263.9758954,13.3,6069,31722
1767362264.4762714,15.0,6071,31722
1767362264.9765995,13.5,6072,31722
1767362265.4768822,12.8,6072,31722
1767362265.9771955,0.3,6072,31722
1767362266.4775314,1.3,6072,31722
1767362266.9778457,0.2,6072,31722
