ts_unix,gpu_util_percent,gpu_mem_mb
1767339376.3443742,0.0,6020
1767339376.8459737,61.0,6020
1767339377.3475711,54.0,6020
1767339377.848944,56.0,6020
1767339378.3502166,55.0,6020
1767339378.8514876,54.0,6020
1767339379.3526268,55.0,6020
1767339379.8536744,53.0,6020
1767339380.3547227,54.0,6020
1767339380.8558087,54.0,6020
1767339381.3568683,55.0,6020
1767339381.857944,54.0,6020
1767339382.3590176,54.0,6020
1767339382.8601453,54.0,6020
1767339383.3611863,55.0,6020
1767339383.8622458,54.0,6020
1767339384.3633673,54.0,6020
1767339384.8645284,54.0,6020
1767339385.365642,54.0,6020
1767339385.8672986,55.0,6020
1767339386.3688593,54.0,6020
1767339386.8703046,54.0,6020
1767339387.371644,54.0,6020
1767339387.8731577,54.0,6020
1767339388.3745005,54.0,6020
1767339388.8762128,54.0,6020
1767339389.3774297,54.0,6020
1767339389.878908,54.0,6020
1767339390.380435,54.0,6020
1767339390.8818762,54.0,6020
1767339391.3832371,54.0,6020
1767339391.8848772,54.0,6020
1767339392.3862832,54.0,6020
1767339392.8878465,54.0,6020
1767339393.3892143,54.0,6020
1767339393.8908563,54.0,6020
1767339394.3920264,54.0,6020
1767339394.8935597,54.0,6020
1767339395.3949435,54.0,6020
1767339395.896434,54.0,6020
1767339396.398508,54.0,6020
1767339396.8998046,54.0,6020
1767339397.4012084,54.0,6020
1767339397.9027946,54.0,6020
1767339398.404443,54.0,6020
1767339398.9060774,54.0,6020
1767339399.4072948,54.0,6020
1767339399.9087317,54.0,6020
1767339400.4100513,54.0,6020
1767339400.911872,54.0,6020
1767339401.4133604,54.0,6020
1767339401.9149113,54.0,6020
1767339402.4165807,54.0,6020
1767339402.9181883,56.0,6020
1767339403.4199123,55.0,6020
1767339403.921094,54.0,6020
1767339404.4221182,52.0,6020
1767339404.9234378,54.0,6020
1767339405.4245014,54.0,6020
1767339405.9255998,55.0,6020
1767339406.328772,54.0,6020
