ts_unix,cpu_percent,mem_used_mb,mem_total_mb
1767339376.3267121,0.0,3277,31722
1767339376.827352,14.5,3303,31722
1767339377.328169,13.8,3310,31722
1767339377.8285074,15.5,3316,31722
1767339378.32882,14.6,3322,31722
1767339378.8291242,12.8,3325,31722
1767339379.3294625,13.3,3322,31722
1767339379.829791,15.5,3322,31722
1767339380.3301058,14.3,3317,31722
1767339380.8304303,12.8,3311,31722
1767339381.3308015,13.5,3318,31722
1767339381.8311524,15.4,3315,31722
1767339382.3314729,14.5,3309,31722
1767339382.831842,12.8,3308,31722
1767339383.3322473,13.3,3308,31722
1767339383.8325863,13.3,3307,31722
1767339384.3329356,15.1,3300,31722
1767339384.8332915,13.8,3303,31722
1767339385.333749,13.0,3300,31722
1767339385.8341467,12.8,3313,31722
1767339386.3346133,16.1,3324,31722
1767339386.834996,13.5,3321,31722
1767339387.3354669,12.8,3321,31722
1767339387.8358421,13.0,3323,31722
1767339388.3361971,15.9,3321,31722
1767339388.83661,12.8,3322,31722
1767339389.3369243,12.3,3325,31722
1767339389.8372216,12.5,3324,31722
1767339390.3375673,15.8,3318,31722
1767339390.8378832,12.5,3318,31722
1767339391.3381956,13.0,3319,31722
1767339391.838513,13.3,3315,31722
1767339392.3388324,14.4,3307,31722
1767339392.839155,14.0,3307,31722
1767339393.3394706,12.5,3312,31722
1767339393.8397806,12.5,3304,31722
1767339394.3400826,14.3,3305,31722
1767339394.840468,13.6,3311,31722
1767339395.34078,12.5,3304,31722
1767339395.8410852,12.3,3308,31722
1767339396.3418262,14.3,3312,31722
1767339396.8421295,15.0,3308,31722
1767339397.3424518,12.3,3319,31722
1767339397.8428044,12.6,3320,31722
1767339398.3431108,14.7,3327,31722
1767339398.843446,14.5,3324,31722
1767339399.3437815,12.3,3320,31722
1767339399.8441002,12.8,3309,31722
1767339400.344442,14.0,3309,31722
1767339400.8447633,13.8,3311,31722
1767339401.3450804,12.3,3312,31722
1767339401.8454018,13.2,3311,31722
1767339402.3456957,14.0,3312,31722
1767339402.8460047,14.6,3317,31722
1767339403.3463302,12.8,3318,31722
1767339403.846772,12.5,3315,31722
1767339404.3470714,22.3,3320,31722
1767339404.8473961,15.5,3304,31722
1767339405.3477156,12.5,3311,31722
1767339405.848109,12.7,3300,31722
1767339406.3288014,12.3,3313,31722
